Samples;decimalLongitude;decimalLatitude;Mussismilia_hispida
Saco do Sombrio/08_SacodoSombrio_Juan_2802_Fundo_GoPro2_Video8/;-45.243995;-23.893302;0
Saco do Sombrio/08_SacodoSombrio_Lu_2802_Raso_GoProLu_Video3/;-45.243995;-23.893302;0
Saco do Sombrio/09_SacodoSombrio_Juan_2802_Fundo_GoProRe_Video1/;-45.243995;-23.893302;1
Saco do Sombrio/09_SacodoSombrio_Lu_2802_Raso_GoProLu_Video4/;-45.243995;-23.893302;0
Saco do Sombrio/10_SacodoSombrio_Juan_2802_Fundo_GoProRe_Video2/;-45.243995;-23.893302;0
Saco do Sombrio/10_SacodoSombrio_Lu_2802_Raso_GoProLu_Video5/;-45.243995;-23.893302;1
Saco do Sombrio/11_SacodoSombrio_Juan_2802_Fundo_GoProRe_Video3/;-45.243995;-23.893302;0
Saco do Sombrio/11_SacodoSombrio_Lu_2802_Raso_GoProLu_Video6/;-45.243995;-23.893302;0
Saco do Sombrio/12_SacodoSombrio_Juan_2802_Fundo_GoProRe_Video4/;-45.243995;-23.893302;0
Deserta_06_04_2011/Filmagem_Fundo_1/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Fundo_10/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Fundo_11/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Fundo_12/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Fundo_13/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Fundo_14/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Fundo_15/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Fundo_2/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Fundo_3/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Fundo_4/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Fundo_5/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Fundo_6/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Fundo_7/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Fundo_8/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Fundo_9/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Raso_1/;-48.331675;-27.264465;0
