"decimalLongitude","decimalLatitude","moca","code"
-66.9645004272,17.9064102173,1,"OBIS525"
-66.9732971191,17.9281196594,1,"OBIS526"
-66.9699478149,17.900100708,1,"OBIS528"
-87.8297195435,18.2108325958,1,"OBIS529"
-93.6031188965,27.9106197357,1,"OBIS532"
-96.0683364868,19.197221756,1,"OBIS534"
-83.0554962158,12.2013702393,1,"OBIS537"
-64.7765426636,18.3580608368,1,"OBIS538"
-64.7458877563,18.3026409149,1,"OBIS539"
-77.5377807617,21.9311103821,1,"OBIS541"
-64.6874313354,18.3131504059,1,"OBIS543"
-82.1006164551,9.2203168869,1,"OBIS544"
-64.6790237427,18.3305606842,1,"OBIS545"
-64.5214309692,17.7703094482,1,"OBIS549"
-67.8082275391,10.4783058167,1,"OBIS552"
-76.7086868286,18.2745342255,1,"OBIS553"
-78.88218689,9.559533119,1,"OBIS554"
-68.3528366089,12.2183332443,1,"OBIS555"
-77.3883972168,18.4678668976,1,"OBIS556"
-79.4677352905,21.075750351,1,"OBIS564"
-80.3481521606,25.0349674225,1,"OBIS566"
-64.5724411011,17.786649704,1,"OBIS567"
-67.0164871216,17.9042396545,1,"OBIS568"
-79.5673141479,21.2189502716,1,"OBIS569"
-64.6363677979,17.8001499176,1,"OBIS573"
-88.0495147705,16.9197998047,1,"OBIS574"
-67.0175094604,17.9041500092,1,"OBIS575"
-66.9979095459,17.945110321,1,"OBIS576"
-77.4190216064,23.778219223,1,"OBIS580"
-64.7703704834,18.312210083,1,"OBIS581"
-64.5779037476,17.7893009186,1,"OBIS582"
-67.0013427734,17.9353294373,1,"OBIS583"
-64.5958862305,17.7994995117,1,"OBIS584"
-78.9778518677,9.54576683044,1,"OBIS586"
-71.1092147827,21.5370006561,1,"OBIS587"
-37.939,-19.808,1,"OBIS588"
-66.7057647705,11.7663669586,1,"OBIS589"
-79.9995193481,21.7142162323,1,"OBIS590"
-66.9872665405,17.9138393402,1,"OBIS595"
-63.2588348389,17.6293334961,1,"OBIS597"
-65.3193969727,18.1571331024,1,"OBIS599"
-65.3149642944,18.3380832672,1,"OBIS601"
-66.9913330078,17.9143295288,1,"OBIS602"
-82.9744033813,12.2983703613,1,"OBIS605"
-66.9917221069,17.9081993103,1,"OBIS606"
-93.6006774902,27.9063892365,1,"OBIS609"
-79.8283309937,19.720249176,1,"OBIS610"
-77.6478805542,24.3013000488,1,"OBIS612"
-63.2596664429,17.6266670227,1,"OBIS617"
-64.6193084717,17.7826595306,1,"OBIS618"
-82.443649292,21.5414657593,1,"OBIS619"
-64.6632995605,18.3334693909,1,"OBIS621"
-64.6116027832,17.7935199738,1,"OBIS623"
-81.4624862671,21.9635162354,1,"OBIS626"
-38.601389,-17.721389,1,"OBIS628"
-64.5680999756,17.7813892365,1,"OBIS629"
-87.4322814941,18.4098167419,1,"OBIS631"
-66.9322967529,17.9022808075,1,"OBIS634"
-64.6659469604,17.7710704803,1,"OBIS639"
-81.0779342651,19.3439006805,1,"OBIS642"
-64.7994995117,18.323600769,1,"OBIS643"
-64.6675186157,17.7742099762,1,"OBIS644"
-66.9786529541,17.931350708,1,"OBIS648"
-87.5943527222,17.1567840576,1,"OBIS649"
-77.4263687134,23.7909202576,1,"OBIS650"
-81.3300323486,21.8624668121,1,"OBIS651"
-67.0244369507,17.8936805725,1,"OBIS652"
-82.3137130737,21.5591506958,1,"OBIS653"
-87.7440490723,17.59375,1,"OBIS657"
-64.5691375732,17.7835292816,1,"OBIS658"
-64.625869751,17.7940006256,1,"OBIS665"
-64.5726776123,17.7901096344,1,"OBIS668"
-77.4510803223,18.4792175293,1,"OBIS670"
-81.2844314575,21.8535995483,1,"OBIS673"
-77.0393295288,26.6399993896,1,"OBIS679"
-87.2991027832,20.4076499939,1,"OBIS680"
-81.513168335,22.1587657928,1,"OBIS681"
-38.6694984436,-17.9920005798,1,"OBIS682"
-77.4168014526,23.7803001404,1,"OBIS684"
-64.8004226685,18.3550491333,1,"OBIS686"
-64.6239089966,17.7836494446,1,"OBIS687"
-64.6996994019,18.3355293274,1,"OBIS688"
-67.0767211914,17.937620163,1,"OBIS691"
-81.5466842651,22.1014671326,1,"OBIS694"
-78.77921295,9.595999718,1,"OBIS697"
-66.9790267944,17.8969993591,1,"OBIS698"
-66.9533691406,17.9046707153,1,"OBIS700"
-81.9675140381,21.5708007812,1,"OBIS701"
-81.3242340088,21.8624668121,1,"OBIS705"
-67.0746307373,17.9273605347,1,"OBIS706"
-65.5336532593,18.3603496552,1,"OBIS711"
-37.71,-20.674,1,"OBIS712"
-64.6067810059,17.805770874,1,"OBIS715"
-66.9559936523,17.8984603882,1,"OBIS716"
-79.9749984741,21.691400528,1,"OBIS717"
-64.5884628296,17.7981300354,1,"OBIS718"
-66.2680130005,17.9273204803,1,"OBIS720"
-64.9516143799,18.3296833038,1,"OBIS721"
-67.0259780884,17.9178791046,1,"OBIS722"
-88.0800018311,16.7800006866,1,"OBIS726"
-88.0119476318,17.6731338501,1,"OBIS728"
-81.4835968018,22.1089839935,1,"OBIS730"
-80.0082473755,19.7078342438,1,"OBIS732"
-78.7574996948,20.6850833893,1,"OBIS734"
-64.6392288208,17.791639328,1,"OBIS737"
-66.9437637329,17.9038505554,1,"OBIS738"
-64.6302490234,17.8101806641,1,"OBIS742"
-83.068397522,12.1862802505,1,"OBIS745"
-80.6165847778,24.9044837952,1,"OBIS746"
-88.1699981689,16.7099990845,1,"OBIS751"
-87.7505569458,18.5152778625,1,"OBIS753"
-64.5810089111,17.7896709442,1,"OBIS754"
-67.0568084717,17.9146308899,1,"OBIS755"
-78.8551635742,20.7630004883,1,"OBIS756"
-63.0079994202,18.0106658936,1,"OBIS757"
-66.9891204834,17.8931102753,1,"OBIS760"
-64.6486129761,17.7786808014,1,"OBIS763"
-81.6735153198,21.5734004974,1,"OBIS765"
-87.8823852539,16.7407836914,1,"OBIS766"
-81.5701828003,22.0856666565,1,"OBIS767"
-64.5898132324,17.7930603027,1,"OBIS769"
-71.1535186768,21.4792327881,1,"OBIS770"
-84.5137176514,21.8094329834,1,"OBIS771"
-87.2482681274,18.6049995422,1,"OBIS772"
-64.6194534302,17.8048400879,1,"OBIS777"
-66.9794464111,17.9311199188,1,"OBIS780"
-78.3369445801,22.5411109924,1,"OBIS781"
-64.6806030273,18.3356990814,1,"OBIS792"
-66.9471817017,17.9026794434,1,"OBIS796"
-80.092918396,19.6781673431,1,"OBIS797"
-64.5678024292,17.7896709442,1,"OBIS798"
-82.9231262207,24.6354598999,1,"OBIS806"
-93.601852417,27.9099693298,1,"OBIS808"
-83.6863937378,24.7919406891,1,"OBIS810"
-67.0790634155,17.8976993561,1,"OBIS811"
-39.113333,-16.951389,1,"OBIS814"
-80.089012146,26.1782894135,1,"OBIS816"
-87.626663208,18.8930549622,1,"OBIS817"
-64.5878219604,17.799539566,1,"OBIS819"
-64.7439193726,18.3735599518,1,"OBIS820"
-67.025680542,17.9627094269,1,"OBIS822"
-66.2164306641,17.9156303406,1,"OBIS824"
-67.1069564819,17.9349308014,1,"OBIS825"
-64.6016235352,17.7984600067,1,"OBIS828"
-87.4563903809,20.1141662598,1,"OBIS831"
-65.2284851074,18.2990665436,1,"OBIS832"
-77.3769989014,23.6965007782,1,"OBIS833"
-64.6105575562,17.7917404175,1,"OBIS834"
-36.806,-17.134,1,"OBIS835"
-77.8783721924,24.8792705536,1,"OBIS837"
-80.1117324829,25.4722156525,1,"OBIS841"
-64.7914962769,18.3542995453,1,"OBIS843"
-64.7748031616,18.35779953,1,"OBIS844"
-64.6447601318,17.7872695923,1,"OBIS848"
-67.099861145,17.9294204712,1,"OBIS852"
-34.006,-20.951,1,"OBIS854"
-64.5704421997,17.7896194458,1,"OBIS855"
-71.5177001953,21.4832668304,1,"OBIS857"
-67.0125808716,17.908700943,1,"OBIS858"
-93.8204269409,27.8726997375,1,"OBIS861"
-78.7792129517,9.59599971771,1,"OBIS862"
-93.6006774902,27.913230896,1,"OBIS863"
-67.0620880127,17.9208908081,1,"OBIS864"
-78.9312973,9.476799965,1,"OBIS865"
-77.0320129395,18.4248008728,1,"OBIS871"
-64.5784072876,17.7736606598,1,"OBIS872"
-78.91248322,9.53880024,1,"OBIS873"
-64.580947876,17.7884197235,1,"OBIS876"
-93.8153610229,27.8740901947,1,"OBIS877"
-67.0728912354,17.898349762,1,"OBIS878"
-93.8143615723,27.8763504028,1,"OBIS879"
-67.0286636353,17.8890094757,1,"OBIS881"
-93.6015777588,27.9118804932,1,"OBIS882"
-67.0148696899,17.9171791077,1,"OBIS887"
-64.5848007202,17.7959709167,1,"OBIS888"
-78.6542358398,9.52455043793,1,"OBIS889"
-67.0167388916,17.9449996948,1,"OBIS892"
-66.9449615479,17.9023208618,1,"OBIS896"
-69.1616973877,12.3603334427,1,"OBIS898"
-64.5773162842,17.7425498962,1,"OBIS899"
-78.2709503174,18.4142494202,1,"OBIS901"
-82.702796936,21.4773330688,1,"OBIS903"
-64.5855178833,17.7863998413,1,"OBIS904"
-81.4166870117,21.9042835236,1,"OBIS905"
-93.8089981079,27.921667099,1,"OBIS907"
-64.5895996094,17.7641201019,1,"OBIS912"
-81.876953125,24.4520664215,1,"OBIS914"
-67.0830001831,17.929069519,1,"OBIS916"
-64.760597229,18.3153190613,1,"OBIS924"
-81.0962142944,21.7383499146,1,"OBIS926"
-64.6330032349,17.808259964,1,"OBIS927"
-64.652923584,17.7754306793,1,"OBIS930"
-66.9872665405,17.8916091919,1,"OBIS932"
-77.6820678711,24.5402202606,1,"OBIS934"
-93.6034469604,27.9100208282,1,"OBIS937"
-66.9580535889,17.9276599884,1,"OBIS938"
-67.0996704102,17.924779892,1,"OBIS940"
-33.643,-20.857,1,"OBIS945"
